D1,D2,D3,Date,M1,M2
LATAM,Home Office,Central America,2015-01-01T00:00,129.9900055,26
LATAM,Home Office,Central America,2015-01-01T00:00,50,8.5
LATAM,Home Office,Central America,2015-01-01T00:00,399.980011,20
LATAM,Consumer,South America,2015-01-01T00:00,239.9600067,31.19000053
LATAM,Home Office,Central America,2015-01-01T00:00,100,13
LATAM,Corporate,South America,2015-01-01T00:00,50,8
LATAM,Corporate,South America,2015-01-01T00:00,299.980011,0
LATAM,Corporate,South America,2015-01-01T00:00,399.980011,12
LATAM,Corporate,South America,2015-01-01T00:00,399.980011,16
LATAM,Corporate,Central America,2015-01-01T00:00,74.97000122,18.73999977
LATAM,Corporate,Central America,2015-01-01T00:00,399.9599915,20
LATAM,Corporate,Central America,2015-01-01T00:00,239.9600067,35.99000168
LATAM,Corporate,Central America,2015-01-01T00:00,79.95999908,19.98999977
LATAM,Consumer,Central America,2015-01-01T00:00,299.9500122,53.99000168
LATAM,Consumer,Central America,2015-01-01T00:00,250,13.75
LATAM,Consumer,Central America,2015-01-01T00:00,129.9900055,13
LATAM,Consumer,Central America,2015-01-01T00:00,50,10
LATAM,Consumer,Central America,2015-01-01T00:00,119.9800034,2.400000095
LATAM,Consumer,Central America,2015-01-01T00:00,119.9800034,3.599999905
LATAM,Consumer,Central America,2015-01-01T00:00,399.9599915,16
LATAM,Consumer,Central America,2015-01-01T00:00,250,12.5
LATAM,Corporate,Central America,2015-01-01T00:00,59.99000168,10.19999981
LATAM,Corporate,Central America,2015-01-01T00:00,99.95999908,12
LATAM,Consumer,South America,2015-01-01T00:00,129.9900055,20.79999924
LATAM,Consumer,Caribbean,2015-01-01T00:00,299.980011,6
LATAM,Consumer,South America,2015-01-01T00:00,299.980011,51
LATAM,Consumer,South America,2015-01-01T00:00,299.980011,54
LATAM,Corporate,Central America,2015-01-01T00:00,129.9900055,16.89999962
LATAM,Corporate,Central America,2015-01-01T00:00,119.9800034,6.599999905
LATAM,Home Office,Central America,2015-01-01T00:00,19.97999954,2.400000095
